biosample_id,RBG,SLXid,index,10xsample_description,sex_mixed,sex,mouse_id,sortedcells,expected_cells_10x,cellranger_cellsfound,chemistry,tom,expdate,batch,timepoint_tx_days,start_age,sample_id,countfile
9mo_SIGAE3_14686.30j,RBG33905,SLX19552,SIGAE3,Hoxb5_Tom_9mo_30jd_Tompos,yes,female,14686.30j,20000,12600,14298,v3.1,pos,20200813,9mo,269,young,9mo_SIGAE3,./data/10x/9mo/SLX19552_SIGAE3_filtered_feature_bc_matrix.h5
9mo_SIGAE3_14686.30d,RBG33905,SLX19552,SIGAE3,Hoxb5_Tom_9mo_30jd_Tompos,yes,male,14686.30d,20000,12600,14298,v3.1,pos,20200813,9mo,269,young,9mo_SIGAE3,./data/10x/9mo/SLX19552_SIGAE3_filtered_feature_bc_matrix.h5
9mo_SIGAF3_14686.30h,RBG33906,SLX19552,SIGAF3,Hoxb5_Tom_9mo_30ah_Tompos,yes,female,14686.30h,20000,12647,15369,v3.1,pos,20200813,9mo,269,young,9mo_SIGAF3,./data/10x/9mo/SLX19552_SIGAF3_filtered_feature_bc_matrix.h5
9mo_SIGAF3_14686.30a,RBG33906,SLX19552,SIGAF3,Hoxb5_Tom_9mo_30ah_Tompos,yes,male,14686.30a,20000,12647,15369,v3.1,pos,20200813,9mo,269,young,9mo_SIGAF3,./data/10x/9mo/SLX19552_SIGAF3_filtered_feature_bc_matrix.h5
9mo_SIGAG3_14686.30j,RBG33907,SLX19552,SIGAG3,Hoxb5_Tom_9mo_30jd_Tomneg,yes,female,14686.30j,20000,12200,12061,v3.1,neg,20200813,9mo,269,young,9mo_SIGAG3,./data/10x/9mo/SLX19552_SIGAG3_filtered_feature_bc_matrix.h5
9mo_SIGAG3_14686.30d,RBG33907,SLX19552,SIGAG3,Hoxb5_Tom_9mo_30jd_Tomneg,yes,male,14686.30d,20000,12200,12061,v3.1,neg,20200813,9mo,269,young,9mo_SIGAG3,./data/10x/9mo/SLX19552_SIGAG3_filtered_feature_bc_matrix.h5
5mo_SIGAF9_146818.58g,RBG34292,SLX19739,SIGAF9,Hoxb5_Tom_5mo_56e_58g_Tomneg,yes,female,146818.58g,20000,8438,15616,v3.1,neg,20200902,5mo,161,young,5mo_SIGAF9,./data/10x/5mo/SLX19739_SIGAF9_filtered_feature_bc_matrix.h5
5mo_SIGAF9_146812.56e,RBG34292,SLX19739,SIGAF9,Hoxb5_Tom_5mo_56e_58g_Tomneg,yes,male,146812.56e,20000,8438,15616,v3.1,neg,20200902,5mo,161,young,5mo_SIGAF9,./data/10x/5mo/SLX19739_SIGAF9_filtered_feature_bc_matrix.h5
5mo_SIGAE9_146818.58h,RBG34293,SLX19739,SIGAE9,Hoxb5_Tom_5mo_57a_58h_Tompos,yes,female,146818.58h,9683,5175,5546,v3.1,pos,20200902,5mo,161,young,5mo_SIGAE9,./data/10x/5mo/SLX19739_SIGAE9_filtered_feature_bc_matrix.h5
5mo_SIGAE9_14686.57a,RBG34293,SLX19739,SIGAE9,Hoxb5_Tom_5mo_57a_58h_Tompos,yes,male,14686.57a,667,5175,5546,v3.1,pos,20200902,5mo,161,young,5mo_SIGAE9,./data/10x/5mo/SLX19739_SIGAE9_filtered_feature_bc_matrix.h5
5mo_SIGAD9_146818.58g,RBG34294,SLX19739,SIGAD9,Hoxb5_Tom_5mo_56e_58g_Tompos,yes,female,146818.58g,3941,4258,4412,v3.1,pos,20200902,5mo,161,young,5mo_SIGAD9,./data/10x/5mo/SLX19739_SIGAD9_filtered_feature_bc_matrix.h5
5mo_SIGAD9_146812.56e,RBG34294,SLX19739,SIGAD9,Hoxb5_Tom_5mo_56e_58g_Tompos,yes,male,146812.56e,4575,4258,4412,v3.1,pos,20200902,5mo,161,young,5mo_SIGAD9,./data/10x/5mo/SLX19739_SIGAD9_filtered_feature_bc_matrix.h5
7d_SIGAA5_14681.32c,RBG35063,SLX19800,SIGAA5,Hoxb5_Tom_7d_30e_32c_Tomneg,yes,female,14681.32c,20000,11094,11770,v3.1,neg,20201020,7d,7,young,7d_SIGAA5,./data/10x/7d/SLX19800_SIGAA5_filtered_feature_bc_matrix.h5
7d_SIGAA5_14681.30e,RBG35063,SLX19800,SIGAA5,Hoxb5_Tom_7d_30e_32c_Tomneg,yes,male,14681.30e,20000,11094,11770,v3.1,neg,20201020,7d,7,young,7d_SIGAA5,./data/10x/7d/SLX19800_SIGAA5_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTB4_14684.38h,RBG35849,SLX20391,SITTB4,Hoxb5_Tom_7d_51f_38h_Tompos,yes,female,14684.38h,650,3511,2887,v3.1,pos,20201211,7dr2_7dold,7,young,7dr2_7dold_SITTB4,./data/10x/7dr2_7dold/SLX20391_SITTB4_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTB4_14686.51f,RBG35849,SLX20391,SITTB4,Hoxb5_Tom_7d_51f_38h_Tompos,yes,male,14686.51f,5201,3511,2887,v3.1,pos,20201211,7dr2_7dold,7,aged,7dr2_7dold_SITTB4,./data/10x/7dr2_7dold/SLX20391_SITTB4_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTA4_146817.54f,RBG35850,SLX20391,SITTA4,Hoxb5_Tom_7d_54f_56a_Tompos,yes,female,146817.54f,892,4435,1312,v3.1,pos,20201211,7dr2_7dold,7,aged,7dr2_7dold_SITTA4,./data/10x/7dr2_7dold/SLX20391_SITTA4_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTA4_146812.56a,RBG35850,SLX20391,SITTA4,Hoxb5_Tom_7d_54f_56a_Tompos,yes,male,146812.56a,6500,4435,1312,v3.1,pos,20201211,7dr2_7dold,7,aged,7dr2_7dold_SITTA4,./data/10x/7dr2_7dold/SLX20391_SITTA4_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTC4_146817.54f,RBG35851,SLX20391,SITTC4,Hoxb5_Tom_7d_54f_56a_Tomneg,yes,female,146817.54f,20000,10707,18236,v3.1,neg,20201211,7dr2_7dold,7,aged,7dr2_7dold_SITTC4,./data/10x/7dr2_7dold/SLX20391_SITTC4_filtered_feature_bc_matrix.h5
7dr2_7dold_SITTC4_146812.56a,RBG35851,SLX20391,SITTC4,Hoxb5_Tom_7d_54f_56a_Tomneg,yes,male,146812.56a,20000,10707,18236,v3.1,neg,20201211,7dr2_7dold,7,aged,7dr2_7dold_SITTC4,./data/10x/7dr2_7dold/SLX20391_SITTC4_filtered_feature_bc_matrix.h5
3d7d_SITTB7_146814.46e,RBG35934,SLX20264,SITTB7,Hoxb5_Tom_3d7d_46e_47c_Tompos,yes,female,146814.46e,1384,1060,770,v3.1,pos,20210210,3d7d,3,young,3d7d_SITTB7,./data/10x/3d7d/SLX20264_SITTB7_filtered_feature_bc_matrix.h5
3d7d_SITTB7_146813.47c,RBG35934,SLX20264,SITTB7,Hoxb5_Tom_3d7d_46e_47c_Tompos,yes,male,146813.47c,735,1060,770,v3.1,pos,20210210,3d7d,7,young,3d7d_SITTB7,./data/10x/3d7d/SLX20264_SITTB7_filtered_feature_bc_matrix.h5
3d7d_SITTC7_146814.46e,RBG35935,SLX20264,SITTC7,Hoxb5_Tom_3d7d_46e_46d_Tomneg,yes,female,146814.46e,20000,10000,12275,v3.1,neg,20210210,3d7d,3,young,3d7d_SITTC7,./data/10x/3d7d/SLX20264_SITTC7_filtered_feature_bc_matrix.h5
3d7d_SITTC7_146814.46d,RBG35935,SLX20264,SITTC7,Hoxb5_Tom_3d7d_46e_46d_Tomneg,yes,male,146814.46d,20000,10000,12275,v3.1,neg,20210210,3d7d,3,young,3d7d_SITTC7,./data/10x/3d7d/SLX20264_SITTC7_filtered_feature_bc_matrix.h5
2w4w_SITTA4_146819.61h,RBG36835,SLX20428,SITTA4,Hoxb5_Tom_4w_61b_61h_Tomneg,yes,female,146819.61h,20000,10000,11380,v3.1,neg,20210512,2w4w,27,young,2w4w_SITTA4,./data/10x/2w4w/SLX20428_SITTA4_filtered_feature_bc_matrix.h5
2w4w_SITTA4_146819.61b,RBG36835,SLX20428,SITTA4,Hoxb5_Tom_4w_61b_61h_Tomneg,yes,male,146819.61b,20000,10000,11380,v3.1,neg,20210512,2w4w,27,young,2w4w_SITTA4,./data/10x/2w4w/SLX20428_SITTA4_filtered_feature_bc_matrix.h5
2w4w_SITTB4_146818.66g,RBG36836,SLX20428,SITTB4,Hoxb5_Tom_2w_66d_66g_Tomneg,yes,female,146818.66g,20000,10000,10114,v3.1,neg,20210512,2w4w,12,young,2w4w_SITTB4,./data/10x/2w4w/SLX20428_SITTB4_filtered_feature_bc_matrix.h5
2w4w_SITTB4_146818.66d,RBG36836,SLX20428,SITTB4,Hoxb5_Tom_2w_66d_66g_Tomneg,yes,male,146818.66d,20000,10000,10114,v3.1,neg,20210512,2w4w,12,young,2w4w_SITTB4,./data/10x/2w4w/SLX20428_SITTB4_filtered_feature_bc_matrix.h5
2w4w_SITTC4_146819.61f,RBG36837,SLX20428,SITTC4,Hoxb5_Tom_4w_61b_61f_Tompos,yes,female,146819.61f,3274,2034,1768,v3.1,pos,20210512,2w4w,27,young,2w4w_SITTC4,./data/10x/2w4w/SLX20428_SITTC4_filtered_feature_bc_matrix.h5
2w4w_SITTC4_146819.61b,RBG36837,SLX20428,SITTC4,Hoxb5_Tom_4w_61b_61f_Tompos,yes,male,146819.61b,793,2034,1768,v3.1,pos,20210512,2w4w,27,young,2w4w_SITTC4,./data/10x/2w4w/SLX20428_SITTC4_filtered_feature_bc_matrix.h5
2w4w_SITTD4_146819.61h,RBG36838,SLX20428,SITTD4,Hoxb5_Tom_4w_61c_61h_Tompos,yes,female,146819.61h,1450,2847,2507,v3.1,pos,20210512,2w4w,27,young,2w4w_SITTD4,./data/10x/2w4w/SLX20428_SITTD4_filtered_feature_bc_matrix.h5
2w4w_SITTD4_146819.61c,RBG36838,SLX20428,SITTD4,Hoxb5_Tom_4w_61c_61h_Tompos,yes,male,146819.61c,4243,2847,2507,v3.1,pos,20210512,2w4w,27,young,2w4w_SITTD4,./data/10x/2w4w/SLX20428_SITTD4_filtered_feature_bc_matrix.h5
2w4w_SITTE4_146818.66g,RBG36839,SLX20428,SITTE4,Hoxb5_Tom_2w_66d_66g_Tompos,yes,female,146818.66g,836,654,526,v3.1,pos,20210512,2w4w,12,young,2w4w_SITTE4,./data/10x/2w4w/SLX20428_SITTE4_filtered_feature_bc_matrix.h5
2w4w_SITTE4_146818.66d,RBG36839,SLX20428,SITTE4,Hoxb5_Tom_2w_66d_66g_Tompos,yes,male,146818.66d,472,654,526,v3.1,pos,20210512,2w4w,12,young,2w4w_SITTE4,./data/10x/2w4w/SLX20428_SITTE4_filtered_feature_bc_matrix.h5
7w11w_SITTB3_146812.57f,RBG39144,SLX-20620,SITTB3,Hoxb5_Tom_11w_57b_57f_Tomneg,yes,female,146812.57f,20000,10000,14850,v3.1,neg,20210608,7w11w,76,young,7w11w_SITTB3,./data/10x/7w11w/SLX-20620_SITTB3_filtered_feature_bc_matrix.h5
7w11w_SITTB3_146812.57b,RBG39144,SLX-20620,SITTB3,Hoxb5_Tom_11w_57b_57f_Tomneg,yes,male,146812.57b,20000,10000,14850,v3.1,neg,20210608,7w11w,76,young,7w11w_SITTB3,./data/10x/7w11w/SLX-20620_SITTB3_filtered_feature_bc_matrix.h5
7w11w_SITTA3_146812.57f,RBG39145,SLX-20620,SITTA3,Hoxb5_Tom_11w_57b_57f_Tompos,yes,female,146812.57f,9020,5373,9186,v3.1,pos,20210608,7w11w,76,young,7w11w_SITTA3,./data/10x/7w11w/SLX-20620_SITTA3_filtered_feature_bc_matrix.h5
7w11w_SITTA3_146812.57b,RBG39145,SLX-20620,SITTA3,Hoxb5_Tom_11w_57b_57f_Tompos,yes,male,146812.57b,1726,5373,9186,v3.1,pos,20210608,7w11w,76,young,7w11w_SITTA3,./data/10x/7w11w/SLX-20620_SITTA3_filtered_feature_bc_matrix.h5
7w11w_SITTC3_146812.57e,RBG39146,SLX-20620,SITTC3,Hoxb5_Tom_11w_60a_57e_Tompos,yes,female,146812.57e,6713,6907,8338,v3.1,pos,20210608,7w11w,76,young,7w11w_SITTC3,./data/10x/7w11w/SLX-20620_SITTC3_filtered_feature_bc_matrix.h5
7w11w_SITTC3_146815.60a,RBG39146,SLX-20620,SITTC3,Hoxb5_Tom_11w_60a_57e_Tompos,yes,male,146815.60a,7101,6907,8338,v3.1,pos,20210608,7w11w,76,young,7w11w_SITTC3,./data/10x/7w11w/SLX-20620_SITTC3_filtered_feature_bc_matrix.h5
7w11w_SITTE3_146817.63f,RBG39147,SLX-20620,SITTE3,Hoxb5_Tom_7w_63a_63f_Tomneg,yes,female,146817.63f,20000,10000,12999,v3.1,neg,20210608,7w11w,49,young,7w11w_SITTE3,./data/10x/7w11w/SLX-20620_SITTE3_filtered_feature_bc_matrix.h5
7w11w_SITTE3_146817.63a,RBG39147,SLX-20620,SITTE3,Hoxb5_Tom_7w_63a_63f_Tomneg,yes,male,146817.63a,20000,10000,12999,v3.1,neg,20210608,7w11w,49,young,7w11w_SITTE3,./data/10x/7w11w/SLX-20620_SITTE3_filtered_feature_bc_matrix.h5
7w11w_SITTD3_146817.63f,RBG39148,SLX-20620,SITTD3,Hoxb5_Tom_7w_63a_63f_Tompos,yes,female,146817.63f,4622,2909,3147,v3.1,pos,20210608,7w11w,49,young,7w11w_SITTD3,./data/10x/7w11w/SLX-20620_SITTD3_filtered_feature_bc_matrix.h5
7w11w_SITTD3_146817.63a,RBG39148,SLX-20620,SITTD3,Hoxb5_Tom_7w_63a_63f_Tompos,yes,male,146817.63a,1196,2909,3147,v3.1,pos,20210608,7w11w,49,young,7w11w_SITTD3,./data/10x/7w11w/SLX-20620_SITTD3_filtered_feature_bc_matrix.h5
7w11w_SITTF3_146817.63g,RBG39149,SLX-20620,SITTF3,Hoxb5_Tom_7w_63b_63g_Tompos,yes,female,146817.63g,3851,2734,2669,v3.1,pos,20210608,7w11w,49,young,7w11w_SITTF3,./data/10x/7w11w/SLX-20620_SITTF3_filtered_feature_bc_matrix.h5
7w11w_SITTF3_146817.63b,RBG39149,SLX-20620,SITTF3,Hoxb5_Tom_7w_63b_63g_Tompos,yes,male,146817.63b,1617,2734,2669,v3.1,pos,20210608,7w11w,49,young,7w11w_SITTF3,./data/10x/7w11w/SLX-20620_SITTF3_filtered_feature_bc_matrix.h5
16w_SITTF12_146815.60f,RBG40091,SLX-20853,SITTF12,Hoxb5_Tom_16w_60b_60f_Tomneg,yes,female,146815.60f,20000,10000,9801,v3.1,neg,20210714,16w,112,young,16w_SITTF12,./data/10x/16w/SLX-20853_SITTF12_filtered_feature_bc_matrix.h5
16w_SITTF12_146815.60b,RBG40091,SLX-20853,SITTF12,Hoxb5_Tom_16w_60b_60f_Tomneg,yes,male,146815.60b,20000,10000,9801,v3.1,neg,20210714,16w,112,young,16w_SITTF12,./data/10x/16w/SLX-20853_SITTF12_filtered_feature_bc_matrix.h5
16w_SITTD12_146815.60f,RBG40092,SLX-20853,SITTD12,Hoxb5_Tom_16w_60b_60f_Tompos,yes,female,146815.60f,20000,10000,12066,v3.1,pos,20210714,16w,112,young,16w_SITTD12,./data/10x/16w/SLX-20853_SITTD12_filtered_feature_bc_matrix.h5
16w_SITTD12_146815.60b,RBG40092,SLX-20853,SITTD12,Hoxb5_Tom_16w_60b_60f_Tompos,yes,male,146815.60b,12506,10000,12066,v3.1,pos,20210714,16w,112,young,16w_SITTD12,./data/10x/16w/SLX-20853_SITTD12_filtered_feature_bc_matrix.h5
16w_SITTE12_146815.60h,RBG40093,SLX-20853,SITTE12,Hoxb5_Tom_16w_60c_60h_Tompos,yes,female,146815.60h,20000,10000,8752,v3.1,pos,20210714,16w,112,young,16w_SITTE12,./data/10x/16w/SLX-20853_SITTE12_filtered_feature_bc_matrix.h5
16w_SITTE12_146815.60c,RBG40093,SLX-20853,SITTE12,Hoxb5_Tom_16w_60c_60h_Tompos,yes,male,146815.60c,5701,10000,8752,v3.1,pos,20210714,16w,112,young,16w_SITTE12,./data/10x/16w/SLX-20853_SITTE12_filtered_feature_bc_matrix.h5