batch,data_type,BM_fraction,mouse_id,sex,start_age,Tompos_sorted_cells,days_postTx,report_available,use_report,flow_sortdate,report_total_events,flow_biosample_id,biosample_id
9mo,10x,lindep,14686.30j,F,young,20000,269,TRUE,FALSE,13 08 2020,NA,9mo_lindep_14686.30j,9mo_SIGAE3_14686.30j
9mo,10x,lindep,14686.30d,M,young,20000,269,TRUE,TRUE,13 08 2020,10764421,9mo_lindep_14686.30d,9mo_SIGAE3_14686.30d
9mo,10x,lindep,14686.30h,F,young,20000,269,TRUE,TRUE,13 08 2020,8354745,9mo_lindep_14686.30h,9mo_SIGAF3_14686.30h
9mo,10x,lindep,14686.30a,M,young,20000,269,TRUE,FALSE,13 08 2020,NA,9mo_lindep_14686.30a,9mo_SIGAF3_14686.30a
5mo,10x,lindep,146818.58h,F,young,9683,161,TRUE,TRUE,02 09 2020,8361705,5mo_lindep_146818.58h,5mo_SIGAE9_146818.58h
5mo,10x,lindep,14686.57a,M,young,667,161,TRUE,TRUE,02 09 2020,7042473,5mo_lindep_14686.57a,5mo_SIGAE9_14686.57a
5mo,10x,lindep,146818.58g,F,young,3941,161,TRUE,TRUE,02 09 2020,5662714,5mo_lindep_146818.58g,5mo_SIGAD9_146818.58g
5mo,10x,lindep,146812.56e,M,young,4575,161,TRUE,TRUE,02 09 2020,13269581,5mo_lindep_146812.56e,5mo_SIGAD9_146812.56e
7dr2_7dold,10x,lindep,14684.38h,F,young,650,7,TRUE,TRUE,11 12 2020,5883048,7dr2_7dold_lindep_14684.38h,7dr2_7dold_SITTB4_14684.38h
7dr2_7dold,10x,lindep,14686.51f,M,aged,5201,7,TRUE,TRUE,11 12 2020,12455865,7dr2_7dold_lindep_14686.51f,7dr2_7dold_SITTB4_14686.51f
7dr2_7dold,10x,lindep,146817.54f,F,aged,892,7,TRUE,TRUE,11 12 2020,5719112,7dr2_7dold_lindep_146817.54f,7dr2_7dold_SITTA4_146817.54f
7dr2_7dold,10x,lindep,146812.56a,M,aged,6500,7,TRUE,TRUE,11 12 2020,11538375,7dr2_7dold_lindep_146812.56a,7dr2_7dold_SITTA4_146812.56a
7d,SS2,lindep,14681.32c,F,young,112,7,FALSE,TRUE,20 10 2020,NA,7d_lindep_14681.32c,7d_SS2_14681.32c
7d,SS2,lindep,14681.30e,M,young,271,7,FALSE,TRUE,20 10 2020,NA,7d_lindep_14681.30e,7d_SS2_14681.30e
3d7d,10x,lindep,146814.46e,F,young,1384,3,TRUE,TRUE,10 02 2021,5445832,3d7d_lindep_146814.46e,3d7d_SITTB7_146814.46e
3d7d,10x,lindep,146813.47c,M,young,735,7,TRUE,TRUE,10 02 2021,6072488,3d7d_lindep_146813.47c,3d7d_SITTB7_146813.47c
3d7d,SS2,lindep,146811.44g,F,young,125,7,FALSE,TRUE,10 02 2021,NA,3d7d_lindep_146811.44g,3d7d_SS2_146811.44g
3d7d,SS2,lindep,146813.47a,M,young,143,7,FALSE,TRUE,10 02 2021,NA,3d7d_lindep_146813.47a,3d7d_SS2_146813.47a
3d7d,SS2,lindep,146814.46f,F,young,156,3,FALSE,TRUE,10 02 2021,NA,3d7d_lindep_146814.46f,3d7d_SS2_146814.46f
3d7d,SS2,lindep,146814.46d,M,young,84,3,FALSE,TRUE,10 02 2021,NA,3d7d_lindep_146814.46d,3d7d_SS2_146814.46d
2w4w,10x,lindep,146819.61b,M,young,793,27,TRUE,TRUE,05 12 2021,5763011,2w4w_lindep_146819.61b,2w4w_SITTC4_146819.61b
2w4w,10x,lindep,146819.61h,F,young,1450,27,TRUE,TRUE,05 12 2021,2824782,2w4w_lindep_146819.61h,2w4w_SITTD4_146819.61h
2w4w,10x,lindep,146819.61c,M,young,4243,27,TRUE,TRUE,05 12 2021,6088856,2w4w_lindep_146819.61c,2w4w_SITTD4_146819.61c
2w4w,10x,lindep,146819.61f,F,young,3274,27,TRUE,TRUE,05 12 2021,4868871,2w4w_lindep_146819.61f,2w4w_SITTC4_146819.61f
2w4w,10x,lindep,146818.66g,F,young,836,12,TRUE,TRUE,05 12 2021,4454996,2w4w_lindep_146818.66g,2w4w_SITTE4_146818.66g
2w4w,10x,lindep,146818.66d,M,young,472,12,TRUE,TRUE,05 12 2021,5633431,2w4w_lindep_146818.66d,2w4w_SITTE4_146818.66d
2w4w,SS2,lindep,146818.66b,M,young,344,12,FALSE,FALSE,05 12 2021,NA,2w4w_lindep_146818.66b,2w4w_SS2_146818.66b
2w4w,SS2,lindep,146818.66h,F,young,384,12,FALSE,FALSE,05 12 2021,NA,2w4w_lindep_146818.66h,2w4w_SS2_146818.66h
2w4w,notsorted,aliq005,146819.61b,M,young,NA,27,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146819.61b,NA
2w4w,notsorted,aliq005,146819.61h,F,young,NA,27,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146819.61h,NA
2w4w,notsorted,aliq005,146819.61c,M,young,NA,27,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146819.61c,NA
2w4w,notsorted,aliq005,146819.61f,F,young,NA,27,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146819.61f,NA
2w4w,notsorted,aliq005,146818.66g,F,young,NA,12,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146818.66g,NA
2w4w,notsorted,aliq005,146818.66d,M,young,NA,12,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146818.66d,NA
2w4w,notsorted,aliq005,146818.66b,M,young,NA,12,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146818.66b,NA
2w4w,notsorted,aliq005,146818.66h,F,young,NA,12,FALSE,FALSE,05 12 2021,NA,2w4w_aliq005_146818.66h,NA
7w11w,10x,lindep,146812.57b,M,young,1726,76,TRUE,TRUE,08 06 2021,9079145,7w11w_lindep_146812.57b,7w11w_SITTA3_146812.57b
7w11w,10x,lindep,146812.57e,F,young,6713,76,TRUE,TRUE,08 06 2021,8396970,7w11w_lindep_146812.57e,7w11w_SITTC3_146812.57e
7w11w,10x,lindep,146812.57f,F,young,9020,76,TRUE,TRUE,08 06 2021,7253165,7w11w_lindep_146812.57f,7w11w_SITTA3_146812.57f
7w11w,10x,lindep,146815.60a,M,young,7101,76,TRUE,TRUE,08 06 2021,7931354,7w11w_lindep_146815.60a,7w11w_SITTC3_146815.60a
7w11w,10x,lindep,146817.63a,M,young,1196,49,TRUE,TRUE,08 06 2021,7807116,7w11w_lindep_146817.63a,7w11w_SITTD3_146817.63a
7w11w,10x,lindep,146817.63b,M,young,1617,49,TRUE,TRUE,08 06 2021,3671428,7w11w_lindep_146817.63b,7w11w_SITTF3_146817.63b
7w11w,10x,lindep,146817.63f,F,young,4622,49,TRUE,TRUE,08 06 2021,5257315,7w11w_lindep_146817.63f,7w11w_SITTD3_146817.63f
7w11w,10x,lindep,146817.63g,F,young,3851,49,TRUE,TRUE,08 06 2021,8553899,7w11w_lindep_146817.63g,7w11w_SITTF3_146817.63g
7w11w,notsorted,aliq005,146812.57b,M,young,NA,76,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146812.57b,NA
7w11w,notsorted,aliq005,146812.57e,F,young,NA,76,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146812.57e,NA
7w11w,notsorted,aliq005,146812.57f,F,young,NA,76,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146812.57f,NA
7w11w,notsorted,aliq005,146815.60a,M,young,NA,76,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146815.60a,NA
7w11w,notsorted,aliq005,146817.63a,M,young,NA,49,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146817.63a,NA
7w11w,notsorted,aliq005,146817.63b,M,young,NA,49,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146817.63b,NA
7w11w,notsorted,aliq005,146817.63f,F,young,NA,49,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146817.63f,NA
7w11w,notsorted,aliq005,146817.63g,F,young,NA,49,FALSE,FALSE,08 06 2021,NA,7w11w_aliq005_146817.63g,NA
16w,10x,lindep,146815.60b,M,young,12506,112,TRUE,TRUE,14 07 2021,5346151,16w_lindep_146815.60b,16w_SITTD12_146815.60b
16w,10x,lindep,146815.60c,M,young,5701,112,TRUE,TRUE,14 07 2021,4703158,16w_lindep_146815.60c,16w_SITTE12_146815.60c
16w,10x,lindep,146815.60f,F,young,20000,112,TRUE,TRUE,14 07 2021,3832310,16w_lindep_146815.60f,16w_SITTD12_146815.60f
16w,10x,lindep,146815.60h,F,young,20000,112,TRUE,TRUE,14 07 2021,5506408,16w_lindep_146815.60h,16w_SITTE12_146815.60h
16w,notsorted,aliq005,146815.60b,M,young,NA,112,FALSE,FALSE,14 07 2021,NA,16w_aliq005_146815.60b,NA
16w,notsorted,aliq005,146815.60c,M,young,NA,112,FALSE,FALSE,14 07 2021,NA,16w_aliq005_146815.60c,NA
16w,notsorted,aliq005,146815.60f,F,young,NA,112,FALSE,FALSE,14 07 2021,NA,16w_aliq005_146815.60f,NA
16w,notsorted,aliq005,146815.60h,F,young,NA,112,FALSE,FALSE,14 07 2021,NA,16w_aliq005_146815.60h,NA
3dr2,SS2,lindep,1468.23.97b,M,young,168,3,FALSE,FALSE,21 09 2021,NA,3dr2_lindep_1468.23.97b,3dr2_SS2_1468.23.97b
3dr2,notsorted,aliq005,1468.23.97b,M,young,NA,3,FALSE,FALSE,21 09 2021,NA,3dr2_aliq005_1468.23.97b,NA
3dr2,SS2,lindep,1468.21.100e,F,young,90,3,FALSE,FALSE,21 09 2021,NA,3dr2_lindep_1468.21.100e,3dr2_SS2_1468.21.100e
3dr2,notsorted,aliq005,1468.21.100e,F,young,NA,3,FALSE,FALSE,21 09 2021,NA,3dr2_aliq005_1468.21.100e,NA